impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Marine aquatic ecotoxicity MAETP inf. (incl. PAH average, Xylene average, NMVOC average)	1.05834007016e+12	1.33618171741e+12	432851971091	499661366109	952090471409	1.08014245678e+13	724952540810	219756014107	3.71423397786e+12	908872683914	4.60837283864e+12	1.89319275091e+12	415731972620	584868921682	5.59483310882e+12	183428926680	96275680833.3	202093649298	52824547662.1	1.75237210655e+12	2.14888118192e+12	624038465592	970981134401	1.07507782089e+12	213140490824	339841141212	7.94066093443e+12	4.77550629997e+13	1.77927553248e+13	4.90362293704e+13	4.91454263548e+12	4.79167043789e+12	5.33846483119e+12	1.03498798169e+13	3.63059854637e+12	9.93793887747e+12	3.8623906801e+12	1.23813601868e+12	5.14716070514e+12	1.650126045e+12	1.40915883801e+12	5.89691678341e+12	3.72840309144e+12	1.88316141109e+13	6.16488618382e+12	3.2987687831e+12	6.24722262552e+12	1.0948911205e+13
Terrestrial ecotoxicity TETP inf. (incl. PAH average, Xylene average, NMVOC average)	1367294811.07	1710481380.65	435938855.185	794865473.085	741995411.465	13251385684.2	891868790.372	210830469.515	4178035833.27	1198835591.37	5348221367.59	2045899692.68	476946101.075	629172420.06	7214669208.68	236111857.349	116239969.955	293180458.972	48531176.0673	2392467566.04	1574612158.08	652624636.271	987839907.203	1527820660	198647755.208	377085994.158	10603962201.9	50487505160.3	22954352801.8	60557929187.8	5680456387.48	5542624787.97	7672627283.88	7337825149.71	2324705868.67	12078469628	3897274194.16	1591386956.29	7603217671.98	1572095182.27	2371300248.85	8516650875.7	4800805381.09	29438152344.9	6572931357.5	3840382370.24	7129673224.91	12148688493.8
global warming GWP100 (incl. NMVOC average)	145095063198	199162353725	62675688723	15571627370.5	147165845751	1.39503571336e+12	107944806947	23819582658	607993649287	115400012457	802108598067	224821759954	90978246965.8	95921166362.7	842043593020	33673722660.9	14679752766.9	22556947818.8	5015329311.85	299243655276	413687263978	112091402421	154352460399	128218295162	32396770422.6	69117359772.7	1.07365363912e+12	7.59259978105e+12	1.82531195325e+12	6.98791748195e+12	714287643811	756712264912	559663451299	1.65936009482e+12	622041516900	1.6358364961e+12	571637830847	120156962169	494035728505	292440119420	87930594687	455425673090	354844600541	1.22498001604e+12	797194827893	493219370799	610668839170	1.32963671703e+12
ozone layer depletion ODP steady state (incl. NMVOC average)	8337.55406353	10267.6269278	4551.71070756	851.270795241	8521.09157039	73172.2419575	7335.50745864	1454.05887742	38777.0885478	6384.13366635	55435.0766717	14783.4413402	6059.68941171	4502.98533526	51693.4739163	2797.30290942	898.80062798	2459.95029597	288.403597451	16560.2643052	24841.5541662	8391.63930904	8510.36265642	7843.02837749	2315.53957579	3217.65468077	53830.6478512	359050.924908	93624.2037802	475700.588694	35817.4768755	36532.8717018	77251.873619	299912.475799	53170.6423686	64356.9335086	24723.4436309	6178.82175441	29276.9379849	16669.8507012	6884.94099634	84392.3866305	24688.9524772	211621.783186	87674.6779896	27201.1191702	337069.318838	75917.7851989
Total Emission relevant energy use	1543229.83675	2112762.78906	574030.903	163177.236785	1455062.36014	14822538.7488	1105344.81026	252234.773112	6190481.49602	1288301.07037	8708434.88958	2065607.5716	983723.535497	1057987.25417	8881843.73662	343115.761677	150054.455499	277836.460987	54371.4692866	3294160.28016	4021986.9767	1199538.38536	1625361.68583	1432178.20893	312155.374751	661507.519621	12159363.0765	91335978.8751	19044919.9564	63282221.7015	8511750.48222	7032019.07432	7420332.3324	21989158.414	7452030.74344	19437033.0283	6008556.24099	1276666.9646	4858650.61584	2892791.76953	904772.841946	6568642.26677	3819280.30613	18912922.1963	10108962.0104	5619663.10986	16632243.7361	16997362.0065
Total Energy inputs from nature	2092433.4159	2925796.72848	852215.694853	133328.680775	2114560.16624	20460500.6775	1575623.1361	300224.648916	9747586.78442	1728469.01022	14466856.636	3136964.59759	1053854.23725	1225773.90657	13663656.4173	435374.612672	273507.673522	337796.898339	61023.9677246	4748535.61097	5030170.5424	1856474.91738	4286016.50463	2231933.57806	502389.641976	1619993.67631	16358352.692	98091961.6771	26796641.948	67971227.5264	12658019.3977	12369799.1019	10320799.0409	26938262.2593	8408081.22529	24610981.495	6912650.95614	1480288.09419	6762065.58886	4309098.14215	2326657.0819	7537053.31854	3716593.6529	10442136.068	11624875.8347	4595771.83426	8615945.60234	13966410.6578
Total Energy supply	3341843.74438	5916259.50354	1352741.07658	245050.118132	4846405.73981	33015264.2482	2634224.92798	521146.874098	15819513.0038	3016933.80222	23905210.0181	4978670.70729	1981681.77452	2865757.20871	21407276.7001	903176.797923	466752.269772	531273.900082	119140.214638	8037744.2006	7744796.49036	3034235.71213	5424437.5131	3785764.25954	826975.848593	2322161.85883	26728491.5183	166578755.012	53840998.2046	105917376.186	19606912.4052	20283690.2398	16235676.2954	38914573.2038	14044996.8213	38874145.6131	10898727.874	2617935.44049	10175584.2356	6910048.03291	3444816.94472	10442143.8597	6408826.58858	16250433.4471	19410799.8557	8944811.24891	12708386.7547	27832145.4311
Total Energy Use	3471355.90427	7327137.62895	1468168.92302	313356.341826	4935179.53565	32862034.3442	3246664.6356	543023.834155	15086091.0436	3200760.78901	24924216.7125	4654574.65531	2368716.6325	2903814.39371	19909690.2072	1161581.49259	516908.988483	566613.478046	158617.361629	13306328.7814	7937389.66783	2777565.22911	3413905.64951	4454161.23644	752160.959933	1913283.62628	29196829.3159	186299063.794	52083864.2503	108896392.957	27161455.533	18887211.1836	17428917.1121	38389253.1361	18544952.4798	62348123.3522	19046413.0437	3035814.77091	9364039.33799	7141994.67114	10657596.4018	17799075.4916	9829105.81161	44184377.1099	31809823.4525	15706911.7876	44930015.9895	83990468.1722
Total Heat rejected to fresh water	104918.267866	149001.363846	152323.723952	2764.2224088	52837.6416401	981912.506379	32114.2954293	96557.5206502	330698.214718	83443.5768391	1120931.89281	86096.823642	132011.171984	110148.58625	593621.724856	75226.0864294	18702.1785685	12418.6144153	1238.79250353	246373.908587	311711.169875	159928.442826	162029.48314	99632.1226864	16389.4644533	68749.7159574	377429.958227	9868166.47495	192746.212667	1607079.03994	1095480.24003	117699.028836	125994.315566	862467.298064	112695.68203	1242149.52994	271908.085045	102669.993623	102189.065288	41818.6797304	38686.1006942	60047.5085671	23299.2905749	527039.655905	237956.367886	831185.532949	77998.7327658	451776.287983
Domestic Extraction	295358.775075	364862.687417	120557.768006	33485.0294629	231792.216666	2298144.48293	195311.775327	45113.3777261	1415771.08677	240951.888655	1632914.36754	378537.441745	152573.737631	264121.480561	1425001.53843	54924.5928138	27218.2224397	51843.7843155	9247.14893473	537839.507707	641746.642792	277765.771106	519580.604359	304138.29947	61884.6241651	119360.762613	1823932.18706	9787093.1695	2306241.32866	14824148.1388	1090700.4129	1292266.4663	2342306.74484	4892159.59507	1391943.79767	2339113.55062	989230.918798	202923.235715	897358.082713	399096.778042	194765.983731	1166349.83871	494911.311613	2029485.21365	1987557.54932	627950.528776	2439752.6992	1834533.22702
Unused Domestic Extraction	335230.505582	272196.801688	116829.542313	9906.69188504	315152.871701	2745900.11256	139082.026428	45343.3574579	976701.423415	177375.771533	1064287.66274	639081.271427	119721.419566	127738.571393	1095211.37935	30708.2128649	15579.8432284	25271.670161	4657.42119691	367548.388867	770282.001754	160555.675566	294461.478122	207568.031511	47627.5674297	94500.3526985	1472736.05381	8333802.81469	2662796.63948	4700268.07307	683021.458103	955459.392169	766413.550466	3624745.70999	597930.953161	1573975.55161	1520061.47768	179758.805541	625384.146444	357362.339485	124108.018222	509956.916837	883338.802588	761081.428145	1005249.60488	513452.667916	751435.552199	629919.885013
Water Consumption Green - Agriculture	9718.37920059	23593.8759713	3733.34802309	621.854872504	8223.50697672	117943.551375	9206.84981646	1873.05983483	68345.1300661	6529.73104646	101958.90888	15623.6169816	6614.43764461	8411.31326073	77576.7654015	2802.94272985	2009.55207655	2065.97193838	769.459328664	42121.0495546	25986.795293	14803.9735307	15443.6330686	9646.34824403	2558.37769498	4675.26215576	99144.9834664	386682.73264	114933.815076	557302.659401	59451.7968283	60179.2400234	223080.113899	761435.301415	104348.023963	155575.131517	37716.17516	11972.5420605	54444.0344322	19885.9225895	8028.82901348	260875.099254	24807.6352873	258588.131463	117910.476829	40429.8884095	503826.079898	38188.488821
Water Consumption Blue - Agriculture	2734.02799361	6473.79478876	1465.21868609	291.845598217	1934.86889104	33377.9570799	2961.13897472	378.992577354	28110.7137179	1774.95706625	29058.3429333	8017.98050037	2110.79010825	2043.44948812	26048.114307	541.714692134	500.106531613	407.515447258	270.058429692	11231.8852603	4978.84362487	6008.14834731	7154.67214775	3160.44182773	597.304580445	1531.21382273	29696.4515037	197549.235347	39499.6579132	213161.131437	18664.2054544	18620.3711562	29752.3436581	331093.019219	32906.972991	45187.5126162	16338.4264945	3070.94535189	28147.8461161	7085.58198873	2211.01842858	18442.7399702	7526.48436682	100648.506879	28010.1443104	14072.7066631	89378.5147037	31938.1775653
Water Consumption Blue - Livestock	77.1762839098	142.975890143	27.6660118857	7.5010114164	68.5091293725	807.632948225	63.8321883642	14.2719400385	579.899294518	50.7828553239	780.238316002	176.19621277	50.2055096714	89.0329712972	537.472349409	31.4639636074	13.6842602869	20.4496346793	8.95892835424	206.068313675	196.182207773	136.466537228	111.33995651	84.267988025	32.9771126622	77.6793193127	934.549058256	3548.66554601	643.436112011	3808.95986639	466.326441954	311.559274388	2489.63109792	2591.86673371	741.586020296	1526.34923042	569.038319636	86.0695336512	373.379486634	115.103352276	56.8187045299	353.433901309	308.822649154	1104.98124075	1950.22244745	669.781207657	2770.41386201	687.066468851
Water Consumption Blue - Manufacturing	277.166207852	577.960660818	113.018763433	12.7602372126	251.3955358	2443.54071144	175.49280613	27.6254895484	942.651181123	230.393257663	1812.75982744	282.074454795	151.508866522	178.156009563	2020.35083963	44.1951081603	27.5995448852	49.6331977592	7.65241839096	585.674935477	501.133222935	165.76815803	235.955875655	310.694750375	40.8660935264	214.487622049	2131.81045915	6744.33233619	2400.46864774	20507.6273256	1000.93868105	1043.94559986	1444.28706712	7092.07877845	1032.57823602	2295.76763377	681.705279159	215.458352719	1376.48883052	319.761216501	332.648285478	401.047853348	292.699549858	2234.57321978	1141.8792396	753.09271627	3411.24410343	840.736446626
Water Consumption Blue - Electricity	63.1025951519	125.834104536	35.5208284556	2.32300962712	122.252382244	854.43286297	32.3818556915	13.4498980223	231.366164023	37.0135802089	877.896851916	91.6048549812	50.6173607883	27.3866833423	307.612092636	21.1531838493	17.1767734015	7.04844929324	0.945990012795	118.445427603	220.025940147	37.5177347839	78.9472244952	51.1695770143	18.389894497	55.3549978379	432.733685165	5013.14155676	204.527775887	3621.67375531	322.68083023	164.336157393	92.5612984043	856.885699841	210.501162124	991.980006873	301.071497596	93.8685722157	196.243319277	31.8176423481	31.1552397665	109.449325268	243.31045142	410.437161592	192.819183497	336.624373904	56.9990845835	284.576381907
Water Consumption Blue - Domestic	58.5355	74.2917	57.69	10.1382	71.7306	397.319	41.7563	0.47945	410.903	59.4987	548.503	158.097	124.18	54.2941	775.063	63.9121	3.81612	15.5129	2.39053	137.517	323.742	104.607	349.096	108.762	26.82	35.9852	895.54	7768.69	1320.09	5011.71	920.073	847.208	2892.52	7513.76	2336.18	4008.02	340.115	117.463	604.298	437.374	119.117	1263.81	377.365	13324.41034	3419.789257	1893.69733	2307.701691	811.6816
Water Consumption Blue - Total	3210.00858052	7394.85714426	1699.11428986	324.568056473	2448.75653846	37880.8826026	3274.60212491	434.819354964	30275.5333576	2152.64545945	33077.7409287	8725.95302292	2487.30184523	2392.31925232	29688.6125886	702.439047751	562.383230186	500.15962899	290.00629645	12279.590937	6219.92699572	6452.50777736	7930.01120441	3715.33614314	716.357681131	1914.72096193	34091.0847062	220624.064786	44068.1804488	246111.102384	21374.2244077	20987.4201879	36671.3431216	349147.610431	37227.8184095	54009.6294873	18230.3565909	3583.80481047	30698.2557525	7989.63819986	2750.75765835	20570.4810502	8748.68201725	117722.908842	34714.8544379	17725.9022909	97924.8734447	34562.2384627
Water Withdrawal Blue - Manufacturing	1977.2295312	2260.86495412	391.604913203	55.162892655	1001.34309311	11936.5954063	781.453205708	123.689453589	4488.27050165	888.360892244	8335.41465767	1197.37517326	703.604843223	748.092339129	10203.3137927	212.913042868	123.92411936	183.604109699	34.5645569329	3203.23466475	2084.26790733	803.527545082	1304.11717048	1438.00753626	236.415362815	968.763216018	8903.30765621	41296.8277234	13186.3068186	54482.2030432	5441.93358416	5135.01795337	9268.05968377	46858.3862462	5096.96929871	10284.1876801	3446.38168499	1216.72816487	4444.71103286	1941.21521975	1493.62148371	2132.41131378	1667.10569737	15672.9062937	8406.96314385	4482.17118036	9249.27419001	4598.00395599
Water Withdrawal Blue - Electricity	2223.32556331	4511.55169426	2311.73545951	76.8643818598	1125.91966909	23644.2336851	846.113516084	1261.60483633	9243.51638432	1168.8571532	20023.5425591	1825.64312561	3747.39675008	1003.73062415	14190.1457787	1543.6864608	724.429416127	271.42435251	38.2457441837	7338.46570389	6768.82790657	1638.34663901	3857.20634721	1266.78610275	634.475498027	827.310387292	14102.9157281	202293.963685	7684.3933347	64813.2867029	23603.0573779	10977.845728	7102.58832797	12251.5259875	3256.11491308	26738.8419114	3235.64244026	2697.38165252	5558.67278897	1558.0652942	993.429517825	9450.96917285	971.872796293	29920.7320045	16833.7080828	9243.3640062	2074.16365484	25316.1050081
Water Withdrawal Blue - Domestic	582.038	669.856	486.759	94.6236	743.689	3590.06	383.587	58.6847	3105.33	381.204	5463.87	1042.88	786.099	469.101	7712.49	126.166	34.4083	109.098	19.6488	1202.22	2500.93	706.707	2749.13	873.039	212.91	362.101	7384.28	52860	15233	48817.7	5751.72	7180.61	11484.9	34133.9	11029	16032.1	3725.41	941.751	5626.96	3529.74	791.475	8885.76	3253.71	45439.48931	26927.8418	8476.8312	16439.00531	6647.111
Water Withdrawal Blue - Total	4782.59309451	7442.27264838	3190.09937271	226.650874515	2870.9517622	39170.8890915	2011.15372179	1443.97898991	16837.116886	2438.42204545	33822.8272167	4065.89829887	5237.1005933	2220.92396328	32105.9495714	1882.76550367	882.761835487	564.126462209	92.4591011167	11743.9203686	11354.0258139	3148.58118409	7910.45351768	3577.83263902	1083.80086084	2158.17460331	30390.5033843	296450.791409	36103.7001533	168113.189746	34796.7109621	23293.4736814	27855.5480117	93243.8122338	19382.0842118	53055.1295915	10407.4341252	4855.8608174	15630.3438218	7029.02051395	3278.52600153	20469.1404866	5892.68849366	91033.1276082	52168.5130266	22202.3663866	27762.4431548	36561.2199641
Land use	203454.558506	415585.637215	75401.8014808	13030.011342	131589.886063	2164881.92229	173217.049775	44603.5066804	1276518.67731	302472.789182	2434074.18072	388610.467235	106994.369649	189326.83096	1491589.57074	54580.4562416	38041.7175834	65153.7261152	7909.75922005	735302.57552	427752.466152	260214.030319	256118.180597	316936.923443	53740.3232861	94987.2520108	1654437.27365	10833887.7823	2408673.19189	9275208.53178	2703004.15871	954698.492012	6079711.12614	3051472.78354	2231348.124	10403039.7737	5012082.461	231537.139557	1023958.27564	392122.514872	277380.591861	1107561.55361	1104689.00614	2635707.2836	4016446.52646	693105.900046	8122639.24684	2153972.74352
